p, d, t, time
2, 1, 0, 0.000000
2, 1, 1, 0.000000
2, 1, 2, 0.000000
2, 1, 3, 0.000000
2, 1, 4, 0.000000
2, 1, 5, 0.000000
2, 2, 0, 6.000000
2, 2, 1, 7.000000
2, 2, 2, 7.000000
2, 2, 3, 3.000000
2, 2, 4, 4.000000
2, 2, 5, 4.000000
2, 3, 0, 140.000000
2, 3, 1, 16.000000
2, 3, 2, 16.000000
2, 3, 3, 74.000000
2, 3, 4, 93.000000
2, 3, 5, 91.000000
2, 4, 0, 3173.000000
2, 4, 1, 241.000000
2, 4, 2, 228.000000
2, 4, 3, 0.000000
2, 4, 4, 16.000000
2, 4, 5, 16.000000
2, 5, 0, 78602.000000
2, 5, 1, 454.000000
2, 5, 2, 426.000000
2, 5, 3, 36009.000000
2, 5, 4, 3253.000000
2, 5, 5, 1626.000000
2, 6, 0, 1996722.000000
2, 6, 1, 5673.000000
2, 6, 2, 3882.000000
2, 6, 3, 0.000000
2, 6, 4, 841.000000
2, 6, 5, 100.000000
