p, d, t, time
16, 1, 0, 0.000000
16, 1, 1, 0.000000
16, 1, 2, 0.000000
16, 1, 3, 14.000000
16, 1, 4, 0.000000
16, 1, 5, 0.000000
16, 2, 0, 6.000000
16, 2, 1, 15.000000
16, 2, 2, 15.000000
16, 2, 3, 9.000000
16, 2, 4, 3.000000
16, 2, 5, 0.000000
16, 3, 0, 138.000000
16, 3, 1, 16.000000
16, 3, 2, 16.000000
16, 3, 3, 6.000000
16, 3, 4, 8.000000
16, 3, 5, 14.000000
16, 4, 0, 3189.000000
16, 4, 1, 242.000000
16, 4, 2, 229.000000
16, 4, 3, 0.000000
16, 4, 4, 0.000000
16, 4, 5, 0.000000
16, 5, 0, 78992.000000
16, 5, 1, 458.000000
16, 5, 2, 427.000000
16, 5, 3, 3484.000000
16, 5, 4, 933.000000
16, 5, 5, 477.000000
16, 6, 0, 2007115.000000
16, 6, 1, 5669.000000
16, 6, 2, 3877.000000
16, 6, 3, 0.000000
16, 6, 4, 0.000000
16, 6, 5, 0.000000
